1,Homer,Yak's_Bend,9,6,,14,3,,15,3,,15,2,,23,1,,13,7,,6,11,,5,1,,100
2,Bob_the_Dog,Yak's_Bend,10,5,,12,4,,15,3,,9,7,,10,6,,7,12,,12,5,,5,1,,80
3,Riker,Yak's_Bend,5,10,,22,1,,14,4,,3,13,,10,6,,18,2,,7,10,,,,,79
4,Khan,Yak's_Bend,5,10,,14,3,,15,3,,9,7,,13,3,,6,13,,12,5,,1,5,,75
4,Vic_Sage,Underworld,,,,7,9,,15,3,,10,6,,13,3,,15,5,,12,5,,3,3,,75
5,Kvothe,Yak's_Bend,7,8,,5,11,,7,11,,4,12,,15,2,,19,1,,15,3,,2,4,,74
6,Blue_Beetle,Ruins_of_Surmia,,,,5,11,,11,7,,13,3,,12,4,,16,4,,9,8,,5,1,,71
7,Batgirl,Ruins_of_Surmia,,,,5,11,,18,1,,6,10,,13,3,,6,13,,16,2,,5,1,,69
7,We_Are_Bob,Yak's_Bend,14,3,,9,7,,7,11,,11,5,,9,7,,7,12,,8,9,,4,2,,69
8,Elmer_Fudd,Sea_of_Sorrows,,,,11,5,,14,4,,8,8,,11,5,,9,10,,14,4,,,,,67
9,Wally_West,Underworld,,,,5,11,,14,4,,11,5,,10,6,,8,11,,15,3,,3,3,,66
10,Tigger,Riverside,,,,10,6,,11,7,,3,13,,13,3,,12,8,,10,7,,4,2,,63
11,Donald_Duck,Kodash,17,1,,9,7,,8,10,,6,10,,5,11,,8,11,,5,12,,4,2,,62
12,Fred_Flintstone,Maguuma,9,6,,16,2,,9,9,,8,8,,12,4,,3,14,,4,13,,,,,61
12,Legion,Yak's_Bend,5,10,,10,6,,10,8,,5,11,,12,4,,7,12,,8,9,,4,2,,61
12,Stitch!,Ring_of_Fire,,,,5,11,,6,12,,15,2,,7,9,,17,3,,8,9,,3,3,,61
13,Superman,Piken_Square,,,,4,12,,16,2,,12,4,,8,8,,9,10,,11,6,,,,,60
14,Barbara_Gordon,Ruins_of_Surmia,,,,5,11,,14,4,,3,13,,10,6,,13,7,,11,6,,3,3,,59
15,Eric_Cartman,Sanctum_of_Rall,,,,5,11,,9,9,,4,12,,11,5,,10,9,,17,1,,,,,56
16,Tim_Drake,Underworld,,,,7,9,,12,6,,7,9,,6,10,,17,3,,4,13,,,,,53
17,Daffy_Duck,Ruins_of_Surmia,,,,14,3,,13,5,,5,11,,5,11,,6,13,,5,12,,4,2,,52
18,Sylvester,Henge_of_Denravi,15,2,,8,8,,11,7,,12,4,,3,13,,,,,,,,,,,49
18,Wonder_Woman,Underworld,,,,5,11,,6,12,,9,7,,6,10,,13,7,,7,10,,3,3,,49
19,Nite_Hawk,Kaineng,3,12,,16,2,,10,8,,17,1,,2,14,,,,,,,,,,,48
20,Nite_Owl,Jade_Sea,7,8,,6,10,,8,10,,10,6,,10,6,,,,,,,,,,,41
21,Tasmanian_Devil,Gunnar's_Hold,6,9,,10,6,,9,9,,3,13,,4,12,,,,,,,,,,,32
22,Marge_Simpson,Stormbluff_Isle,,,,,,,,,,,,,,,,15,5,,16,2,,,,,31
23,Pink_Panther,Miller's_Sound,,,,9,7,,10,8,,6,10,,5,11,,,,,,,,,,,30
24,Beyond_Justice,Underworld,,,,,,,,,,,,,,,,14,6,,11,6,,4,2,,29
24,Maggie_Simpson,Sorrow's_Furnace,,,,,,,,,,,,,,,,13,7,,11,6,,5,1,,29
25,Batman,Tarnished_Coast,,,,,,,,,,,,,,,,12,8,,6,11,,5,1,,23
26,The_Hulk,Seafarer's_Rest,,,,,,,,,,,,,,,,15,5,,1,14,,2,4,,18
27,Huey_Duck,Fissure_of_Woe,11,4,,,,,,,,,,,,,,,,,,,,,,,11
28,Minnie_Mouse,Ferguson's_Crossing,8,7,,,,,,,,,,,,,,,,,,,,,,,8
29,Bart,Jade_Quarry,5,10,,,,,,,,,,,,,,,,,,,,,,,5
29,Homer_Simpson,Northern_Shiverpeaks,,,,,,,3,13,,,,,2,14,,,,,,,,,,,5
30,Woody_Woodpecker,Isle_of_Janthir,4,11,,,,,,,,,,,,,,,,,,,,,,,4
31,Barney_Rubble,Gandara,2,13,,,,,,,,,,,,,,,,,,,,,,,2
31,Mario,Gate_of_Madness,2,13,,,,,,,,,,,,,,,,,,,,,,,2
