1,Bob_the_Dog,Yak's_Bend,42,12,42,18,56,4,46,12,51,4,51,4,,,,,,,,,,,,,,,,,,,,,,,56,1,52,2,48,6,50,5,63,1,42,11,54,4,653
2,Riker,Yak's_Bend,44,11,50,11,50,9,66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,5,60,3,58,3,387
3,Homer,Yak's_Bend,47,8,53,9,52,7,53,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,4,35,14,67,1,367
4,Khan,Yak's_Bend,45,10,68,3,38,15,54,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,9,46,9,41,11,342
5,Minnie_Mouse,Ferguson's_Crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,7,61,1,50,5,62,2,49,7,61,2,325
6,Daffy_Duck,Ruins_of_Surmia,62,1,46,14,51,8,46,12,52,3,52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309
7,We_Are_Bob,Yak's_Bend,34,16,76,1,56,4,45,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,5,38,12,304
8,Donald_Duck,Kodash,48,7,38,21,50,9,53,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,2,52,5,303
9,Sylvester,Henge_of_Denravi,41,13,45,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,3,58,6,56,4,46,8,299
10,Tim_Drake,Underworld,47,8,55,8,39,14,61,2,35,11,61,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298
11,Blue_Beetle,Ruins_of_Surmia,51,4,43,17,53,6,55,4,57,2,35,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294
11,Elmer_Fudd,Sea_of_Sorrows,29,19,64,4,45,11,51,8,46,6,59,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294
12,Wally_West,Underworld,40,14,63,5,55,5,42,16,57,2,36,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293
13,Eric_Cartman,Sanctum_of_Rall,39,15,49,12,66,2,48,10,51,4,37,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290
