1,Bob_the_Dog,,Yak's_Bend,19,3,14,9,11,15,24,4,18,6,15,8,,,,,,,,,,,,,,,,,,,,,,,12,4,16,3,19,3,13,7,25,1,26,2,,,212
2,Skritt_Forager,,Abaddon's_Mouth,,,,,,,,,,,,,19,1,27,1,20,1,7,2,28,1,13,2,22,1,,,,,,,,,,,,,,,,,,,,,,,136
3,Homer,,Yak's_Bend,16,5,17,6,27,1,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3,30,1,9,1,134
4,Goofy,,Drakkar_Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2,17,3,25,1,21,1,26,1,13,9,,,,,,,,,125
5,We_Are_Bob,,Yak's_Bend,19,3,31,1,20,7,27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,7,3,115
6,Batgirl,,Ruins_of_Surmia,18,4,25,2,14,12,14,11,15,8,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110
7,Daffy_Duck,,Ruins_of_Surmia,20,2,21,3,12,14,23,5,21,4,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106
8,Super_Jo,,Blackgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,23,1,20,3,19,5,24,3,,,102
8,The_Joker,,Blackgate,23,1,16,7,18,9,25,3,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
9,Tim_Drake,,Underworld,8,11,15,8,26,2,11,13,14,9,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
10,Riker,,Yak's_Bend,19,3,9,14,7,18,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2,22,4,2,7,99
11,Vic_Sage,,Underworld,14,7,13,10,14,12,14,11,17,7,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89
12,Legion,,Yak's_Bend,10,9,12,11,24,4,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,6,3,6,87
13,Barbara_Gordon,,Ruins_of_Surmia,14,7,12,11,10,16,16,10,14,9,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86
13,Shiny!,,Anvil_Rock,,,,,,,,,,,,,9,2,9,2,5,2,9,1,18,2,17,1,19,2,,,,,,,,,,,,,,,,,,,,,,,86
13,Tigger,,Riverside,19,3,19,4,25,3,23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86
14,Khan,,Yak's_Bend,9,10,17,6,13,13,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4,10,10,,,85
15,Blue_Beetle,,Ruins_of_Surmia,9,10,11,12,15,11,9,14,23,3,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84
15,Wally_West,,Underworld,16,5,9,14,15,11,32,1,3,14,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84
16,Eric_Cartman,,Sanctum_of_Rall,16,5,7,15,16,10,5,16,27,1,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
17,Kvothe,,Yak's_Bend,12,8,13,10,16,10,23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,6,,,82
18,Starman,,Blackgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2,14,8,19,4,9,8,18,6,,,79
19,Donald_Duck,,Kodash,12,8,9,14,22,6,22,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,2,7,78
