1,Bob_the_Dog,,Yak's_Bend,19,6,15,8,24,1,15,9,17,5,19,5,,,,,,,,,,,,,,,,,,,,,,,13,2,17,3,9,11,13,2,,,,,,,161
2,Skritt_Forager,,Abaddon's_Mouth,,,,,,,,,,,,,16,1,3,2,27,1,30,1,14,1,26,1,14,3,,,,,,,,,,,,,,,,,,,,,,,130
3,Wally_West,,Underworld,21,4,16,7,14,10,24,1,23,2,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116
4,Shiny!,,Anvil_Rock,,,,,,,,,,,,,14,2,22,1,18,2,13,2,14,1,11,2,19,2,,,,,,,,,,,,,,,,,,,,,,,111
5,Goofy,,Drakkar_Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,6,9,19,2,13,2,25,1,16,8,,,,,,,,,103
6,Elmer_Fudd,,Sea_of_Sorrows,26,1,12,11,16,8,21,3,10,10,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101
7,Tim_Drake,,Underworld,12,12,18,6,15,9,23,2,16,6,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
8,Wonder_Woman,,Underworld,11,13,8,13,8,15,14,10,38,1,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
9,The_Joker,,Blackgate,20,5,12,11,22,2,18,6,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
9,Vic_Sage,,Underworld,12,12,7,14,16,8,20,4,9,11,27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
10,Eric_Cartman,,Sanctum_of_Rall,16,9,10,12,19,5,12,11,6,13,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84
11,Stitch!,,Ring_of_Fire,20,5,21,3,18,6,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
12,Daffy_Duck,,Ruins_of_Surmia,17,8,6,15,20,4,9,13,11,9,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82
13,Batgirl,,Ruins_of_Surmia,12,12,18,6,2,16,24,1,17,5,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79
14,Blue_Beetle,,Ruins_of_Surmia,6,16,12,11,16,8,17,7,10,10,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
15,Kvothe,,Yak's_Bend,17,8,24,1,13,11,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
15,Oh_So_Cute,,Blacktide,,,,,,,,,,,,,,,,,,,,,,,,,24,1,8,5,20,3,21,1,,,,,,,,,,,,,,,,,73
16,Fred_Flintstone,,Maguuma,22,3,13,10,13,11,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
17,Batman,,Tarnished_Coast,,,,,19,5,20,4,15,7,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71
17,Beyond_Justice,,Underworld,,,,,14,10,23,2,15,7,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71
17,Donald_Duck,,Kodash,16,9,23,2,18,6,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71
17,Riker,,Yak's_Bend,8,15,23,2,21,3,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71
18,Marge_Simpson,,Stormbluff_Isle,,,,,10,14,14,10,16,6,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
18,Tigger,,Riverside,18,7,16,7,18,6,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
19,Barbara_Gordon,,Ruins_of_Surmia,9,14,5,16,10,14,7,14,17,5,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69
20,Legion,,Yak's_Bend,12,12,20,4,14,10,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
21,Khan,,Yak's_Bend,13,11,20,4,12,12,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
22,All_Action_Hero,,Blackgate,,,,,,,,,,,,,,,,,,,,,,,,,19,2,15,2,9,6,20,2,,,,,,,,,,,,,,,,,63
22,Daisy_Duck,,Dragonbrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4,16,3,22,1,7,3,,,,,,,,,,,,,63
23,Nightwing,,Blackgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,17,1,23,2,14,9,,,,,,,,,62
24,Quaggan,,Crystal_Desert,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1,15,5,8,8,13,3,,,,,,,,,,,,,,,61
25,We_Are_Bob,,Yak's_Bend,18,7,13,10,11,13,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
26,Starman,,Blackgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5,29,2,13,2,,,,,,,57
27,Superman,,Piken_Square,8,15,14,9,16,8,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
27,Sylvester,,Henge_of_Denravi,24,2,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,,,,,,,54
28,E'telekeli,,Borlis_Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4,21,2,20,2,,,,,,,,,,,,,,,,,53
29,Yogi_Bear,,Far_Shiverpeaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3,17,7,16,1,,,,,,,50
30,Road_Runner,,Elona_Reach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1,23,4,,,,,,,,,48
31,Spider_Man,,Eredon_Terrace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,6,24,3,8,6,,,,,,,46
32,Homer,,Yak's_Bend,6,16,12,11,17,7,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
32,Super_Jo,,Blackgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,7,20,5,11,4,,,,,,,44
33,Louie_Duck,,Fort_Ranik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,1,11,4,,,,,,,42
33,Pepe_Le_Pew,,Vizunah_Square,,,,,,,,,19,4,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
34,Chip_'n'_Dale,,Vabbi,,,,,,,,,21,3,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
35,Pink_Panther,,Miller's_Sound,18,7,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
36,Bart_Simpson,,Yak's_Bend,,,,,,,,,13,8,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
36,Janie's_Got_a_Gun,,Desolation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2,13,5,,,,,,,,,,,,,,,,,34
36,Lightning_Bug,,Arborstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,19,2,,,,,,,,,,,,,,,34
37,Hoohoo_Heehee,,Darkhaven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,4,11,6,,,,,,,,,,,,,,,,,29
38,Nite_Hawk,,Kaineng,15,10,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
39,Piglet,,Whiteside_Ridge,,,,,,,,,8,12,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
40,Darth_Maul,,Aurora_Glade,,,,,,,,,,,,,,,,,,,,,,,,,13,4,13,3,,,,,,,,,,,,,,,,,,,,,26
40,Garfield,,Ehmry_Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,10,10,,,,,,,,,26
40,Huey_Duck,,Fissure_of_Woe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,6,7,7,,,,,,,26
41,Maggie_Simpson,,Sorrow's_Furnace,,,,,11,13,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
42,The_Hulk,,Seafarer's_Rest,,,,,10,14,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
43,biot.4721,&reg;,Gandara,,,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
44,Cry_of_Frustration,,Augury_Rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,5,5,,,,,,,,,,,,,,,14
45,Dewey_Duck,,Fort_Aspenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,12,9,5,,,,,,,13
46,Homer_Simpson,,Northern_Shiverpeaks,,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
